#SRC: https://www.svenskamagic.com/turneringar/pairings.php?ID=2111&round=3
# table; player a; player b
1;Ljungberg, William;Ingvarsson, Per
2;Hedbäck, Tore;Jordö, Martin
3;Gröndahl, Erik;Sjögren, Emil
4;Karström, Kristoffer K;Sadeghpour, Johan
5;Stenlund, Rikard;Almelund, Joakim
6;Israelsson, Daniel;Thor, Patrik
7;Ström, Tobias;Söderlund, David
8;Anderson, Mattias;Jonsson, Anton
9;Persson, Fredrik;Thille, Carl
10;Rönnkvist, Per;Niemi, Christoffer
11;Kjellberg, Magnus;Torstensson, Benny
12;Sundlöf, Tom;Ljungberg, Ludwig
13;Tunving, Hannes;Sahlin, Markus
14;Nyström, Per;Eklundh, Erik
15;Westling, Tomas;Pettersson, Niklas
16;Londos, Ludvig J;Almgren, Oscar
17;Mattsson, Magnus;Breidenskog, Alexis
18;Rocking, Erik;Zander, Bernhard
19;Agerberg, Mattias;Marklund, Christian
20;Ström, Joakim;Ryding, Erik A
21;Persson, Marcus;Sellberg, Linus P
22;Törnros, Mats;Watsfeldt, Elias
23;Sanfridsson, Peter H;Bergström, Jonathan
24;Wall, Oscar;Naslund, David
25;Karlsson, Rickard;Melin, Elias
26;Larsson, David K;Olsson, Marcus
27;Sjöblom, Fabian;Haglund, John E
28;Käll, Tim;Fallgren, David
29;Kettil, Mattias;Pettersson, Thomas
30;Elfgren, Bertil;Blennow, William
31;Bengtsson, Mattias;Carlsson, Fredrik
32;Luc, John;Larsson, Joel
33;Thorén, Jens;Lefvert, Jonas
34;Bloch, Felix M;Elfgren, Rikard
35;Pettersson, Mikael;Trobäck, Ludvig
36;Lundström, Per;Eriksson, Jonas
37;Neumann, Mats;Akman, Per
38;Blomstergren, Viktor j;Dubber, Wilhelm
39;Akerstrom, Janne A;Sköld, Oskar
40;Eriksson, Johan;Bergenfeldt, Björn
41;Clemedtson, Christopher G;Janse, Love
42;Oberg, Kenny;Westberg, Jon
43;Jernmo, Johan;Qvarfordt, Kalle
44;Holmbom, Markus;Granfeldt, Tobias
45;Wu, Pak Yue;Naslund, Emkan
