# SRC: https://www.svenskamagic.com/turneringar/standings.php?ID=2111&round=2
# rank; player; points; op-match win%; pl-game win%; op-game win%; played; won; drawn; byes
1;Ingvarsson, Per;6;50;100;45;2;2;0;0
2;Persson, Fredrik;6;50;100;45;2;2;0;0
3;Sadeghpour, Johan;6;50;100;45;2;2;0;0
4;Gröndahl, Erik;6;50;100;40;2;2;0;0
5;Jonsson, Anton;6;50;80;50;2;2;0;0
6;Söderlund, David;6;50;80;50;1;1;0;1
7;Israelsson, Daniel;6;50;66;55;2;2;0;0
8;Anderson, Mattias;6;50;66;55;2;2;0;0
9;Ström, Tobias;6;50;66;55;2;2;0;0
10;Ljungberg, William;6;50;66;55;2;2;0;0
11;Hedbäck, Tore;6;50;66;55;2;2;0;0
12;Jordö, Martin;6;41;100;41;2;2;0;0
13;Thor, Patrik;6;41;100;41;2;2;0;0
14;Karström, Kristoffer K;6;41;100;36;2;2;0;0
15;Thille, Carl;6;41;80;44;2;2;0;0
16;Rönnkvist, Per;6;41;80;41;2;2;0;0
17;Niemi, Christoffer;6;41;80;36;2;2;0;0
18;Stenlund, Rikard;6;41;80;36;2;2;0;0
19;Almelund, Joakim;6;41;66;46;2;2;0;0
20;Sjögren, Emil;6;41;66;41;2;2;0;0
21;Kjellberg, Magnus;6;41;66;41;2;2;0;0
22;Sundlöf, Tom;4;50;66;50;2;1;1;0
23;Torstensson, Benny;4;50;66;50;2;1;1;0
24;Tunving, Hannes;4;33;55;38;2;1;1;0
25;Ljungberg, Ludwig;4;33;55;38;2;1;1;0
26;Larsson, Joel;3;75;60;58;2;1;0;0
27;Eklundh, Erik;3;75;60;53;2;1;0;0
28;Persson, Marcus;3;75;50;75;2;1;0;0
29;Sanfridsson, Peter H;3;75;50;70;2;1;0;0
30;Blennow, William;3;75;50;70;2;1;0;0
31;Mattsson, Magnus;3;75;50;63;2;1;0;0
32;Sellberg, Linus P;3;75;50;60;2;1;0;0
33;Ryding, Erik A;3;75;50;58;2;1;0;0
34;Melin, Elias;3;75;40;80;2;1;0;0
35;Olsson, Marcus;3;75;40;70;2;1;0;0
36;Sahlin, Markus;3;75;40;65;2;1;0;0
37;Sjöblom, Fabian;3;66;60;50;2;1;0;0
38;Breidenskog, Alexis;3;66;60;50;2;1;0;0
39;Luc, John;3;66;60;50;2;1;0;0
40;Bengtsson, Mattias;3;66;60;50;2;1;0;0
41;Pettersson, Thomas;3;66;50;66;2;1;0;0
42;Larsson, David K;3;66;50;66;2;1;0;0
43;Watsfeldt, Elias;3;66;50;66;2;1;0;0
44;Käll, Tim;3;66;50;56;2;1;0;0
45;Pettersson, Niklas;3;66;50;56;2;1;0;0
46;Haglund, John E;3;66;50;56;2;1;0;0
47;Lefvert, Jonas;3;66;50;50;2;1;0;0
48;Zander, Bernhard;3;66;50;50;2;1;0;0
49;Thorén, Jens;3;66;50;50;2;1;0;0
50;Fallgren, David;3;66;50;50;2;1;0;0
51;Karlsson, Rickard;3;66;50;50;2;1;0;0
52;Ström, Joakim;3;66;40;66;2;1;0;0
53;Londos, Ludvig J;3;66;40;66;2;1;0;0
54;Carlsson, Fredrik;3;66;40;66;2;1;0;0
55;Marklund, Christian;3;66;40;66;2;1;0;0
56;Agerberg, Mattias;3;66;40;66;2;1;0;0
57;Bloch, Felix M;3;50;60;40;1;0;0;1
58;Törnros, Mats;3;41;60;41;2;1;0;0
59;Westling, Tomas;3;41;60;41;2;1;0;0
60;Rocking, Erik;3;41;60;36;2;1;0;0
61;Elfgren, Bertil;3;41;50;46;2;1;0;0
62;Almgren, Oscar;3;41;50;41;2;1;0;0
63;Nyström, Per;3;41;50;41;2;1;0;0
64;Wall, Oscar;3;41;50;36;2;1;0;0
65;Naslund, David;3;41;40;46;2;1;0;0
66;Kettil, Mattias;3;41;40;41;2;1;0;0
67;Bergström, Jonathan;3;41;40;41;2;1;0;0
68;Pettersson, Mikael;1;66;38;56;2;0;1;0
69;Trobäck, Ludvig;1;66;38;55;2;0;1;0
70;Lundström, Per;1;66;38;55;2;0;1;0
71;Elfgren, Rikard;1;66;26;69;2;0;1;0
72;Eriksson, Jonas;0;75;33;65;2;0;0;0
73;Neumann, Mats;0;75;33;60;2;0;0;0
74;Akman, Per;0;75;33;58;2;0;0;0
75;Dubber, Wilhelm;0;75;33;53;2;0;0;0
76;Sköld, Oskar;0;75;20;75;2;0;0;0
77;Bergenfeldt, Björn;0;75;20;75;2;0;0;0
78;Janse, Love;0;75;20;65;2;0;0;0
79;Westberg, Jon;0;75;20;63;2;0;0;0
80;Jernmo, Johan;0;58;20;53;2;0;0;0
81;Qvarfordt, Kalle;0;58;0;63;2;0;0;0
82;Blomstergren, Viktor j;0;50;33;45;2;0;0;0
83;Holmbom, Markus;0;50;20;55;2;0;0;0
84;Englund, Simon E;0;50;20;50;2;0;0;0
85;Eriksson, Johan;0;50;20;50;2;0;0;0
86;Clemedtson, Christopher G;0;50;20;50;2;0;0;0
87;Granfeldt, Tobias;0;50;20;45;2;0;0;0
88;Wu, Pak Yue;0;50;20;45;2;0;0;0
89;Oberg, Kenny;0;50;20;45;2;0;0;0
90;Naslund, Emkan;0;50;0;60;2;0;0;0
91;Akerstrom, Janne A;0;50;0;55;2;0;0;0
